Text,Emotion
i got a shot of terbutaline which makes you feel shaky and makes your heart race like you just drank cups of coffee,fear
i feel like mike is loyal and will always be loyal,love
"had a good day driving up mountains, visiting katie, eating chips &amp; fudge and stocking up on lovely smelling soaps",love
i was feeling really emotionally distraught and unable to concentrate,fear
i put weight on it with my leg bent like when i get out of the car i feel a dull pain in my knee,sadness
i told omangy that i was feeling violent and i wasnt in a good mood,anger
@IMBASE k its 3 slices left,surprise
i feel petrified about his future,fear
i was still feeling weird about the day before,fear
im feeling a little impressed at their creativity,surprise
@Kellyke28 You poor thing  Hang in there. -xxx- luf joe,love
@FattKiddBep i made a vid for you proving my skiLLs that you denied but my step dad said he'd disown me if i posted it ~   sowey,surprise
endless streams of tea~~~~... it's a holiday day here... how do I know? it's raining,surprise
i don t believe in my weakness he is strong i don t believe i am more than a conqueror and i feel like i m a real fake and it s not fine,sadness
lovin' my new blackberry,love
ill let you in on a few more huge dieting secrets just because im feeling very festive and giving right now,joy
@Brittanya69 you are so sexy mama!,surprise
"It is things like that which are really destructive to writers , who are often brave about illness and pain , and resilient after all but the deepest grie",sadness
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,anger
im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise
i was making up a batch of waffles for breakfast the other morning it occurred to me that i might be feeling homesick,sadness
i realize that i sound a little overdramatic when i say that but if you sincerely feel that way you have clearly missed the point of all of these posts,sadness
i feel frightened or anxious,fear
i was not feeling so nervous because she seemed so calm and collected,fear
praying the rosary with my family!,love
i am still working through the guilt of feeling selfish for self preservation without the justification that i must survive to bring up my babies,anger
@martincarstens I think your just trying to make me feel better!,love
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger
i didnt feel like i missed anything at all,sadness
you know what's today? no? it's the Star Wars day you ass!,surprise
I'm going to town on these two dinner rolls and some dark chocolate  yummmm,surprise
i start feeling myself getting overwhelmed or frustrated i have tried to open up more about it instead of pushing it down deep slapping on a fake smile and waiting until i boil over,fear
i feel kind of talented right now lol hmmm,joy
i feel numb the end of the world as we know it and i feel numb a href http leslielandberg,sadness
i feel like i should give it a shout out because it was that delicious,joy
@ChristaGrant It was fun  At a friends house cuz you know I don't have a yard big enough for a firepit. SNIFFLE!,love
i feel like i should be thrilled and i am but at the same time i feel like crap,joy
i got there i didnt feel too bad i didnt feel much different if im honest,sadness
i finished the film i feel kind of regretful that i wasnt able to catch this on the big screen,sadness
"thx for all the nice &quot;it's going to be alright&quot; mails ... and yes, of course you can leave a comment on my blog ! cheers, i ll be napping",love
i don t know i just had this gut feeling and it just really bothered me he said,anger
ive been feeling restless in my career,fear
i guess i feel a little vulnerable because i have to undergo all these physical changes in front of the whole world and it seems a little daunting,fear
"had an amazingly unproductive day, but i loved it  time to go catch up on sleep!",love
i just feel insulted oh oh oh to my exexbf i am so totally entirely over you,anger
i only feel irritated by it,anger
"For the more depressed and lonely people who have few if any outside contacts , counselling can appear to deepen the very feelings that it is seeking to alleviate , especially in the early stage",sadness
@studioyourcom on 14th of may we exist 5 years!,surprise
i feel bothered,anger
"oh dear, they selected the worst bit for highlight for soprano guy",surprise
i feel an angel steal me from the greedy jaws of death and chance and pull me in with steady hands theyve given me a second chance the artist in the ambulance can we pick you off the ground more than flashing lights and sound,anger
i am feeling triumphant today,joy
i feel like a low life mooching off everyone,sadness
im feeling generous i am gonna tell you about another cool blogger,love
@JoelMadden People from England can watch this one  Thankyou,love
i stopped looking for a solution to my problem and i stopped feeling like i have to be dissatisfied,anger
i think it is super nervous for me i always feel not contented and even greedy so when there s a choice that problem would just worsen,joy
i only need to feel respected and safe,joy
@EmmaRileySutton Sounds like fun  LoL. At least you still have some hair right?  how was the weekend?,love
i could feel what was going to happen at the very end but it still startled me,fear
i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,anger
i feel so overwhelmed im nauseous,fear
im feeling disillusioned with buying cheap mass produced clothes,sadness
i feel sooo bitchy that i made out with devin,anger
"He predicted ` deep dismay in Hong Kong , deepened only by the statement of the official Opposition",fear
Natasha laughed at Maggie 's bewildered expr,surprise
i am feeling very appreciative tonight,joy
i also feel at times that i must have been a vain person in an earlier reincarnation and that i have learned to look beyond personal beauty and be beautiful from the inside and reflect it through my spiritual to my physical,sadness
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear
we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,anger
@pammiebegood Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,surprise
i feel so impressed by a dental work in front of me as well as a cost which we am deliberation suicide,surprise
"She saw his fear , his bewilderment , and above all , a kind of astonishment at the enormity of the complications that lay",surprise
i now know how many muscles does the body have because i can feel each one of them aching,sadness
Nothing happened -- not that she 'd really thought anything would -- although there was a nervous tingle in her finge,fear
i can be mettaful and be feeling crappy,sadness
i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,fear
i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,fear
i feel that he s really shy with his feelings because as he talked about how he felt what happened during the trip he was really nervous and i appreciate the effort to say all of that by the way,fear
still in love with marky mark,love
i find myself feeling irritable or depleted i run through a mental checklist have i worked out,anger
i am feeling stressed or overwhelmed i have come to rely on those who i have met here mostly from the so club,anger
im feeling wildly supportive as i swallow my tension that every single other five year old i know of not only knows his letters but knows them backward,love
one afternoon,fear
"` Oh ! "" she bleated , her voice high and rather indign",anger
@MarcScott LOL. me too..werd...:p...hubby's fave driver is Martin so I am happy for him and me!!!,surprise
@manu_preet haha one of the many reasons I love you,love
i inspect samples of wheat i started feeling that i was a suspicious character,fear
@curiousmike Maybe until Wednesday?,surprise
At the DMV uhhhg!,surprise
i feel empty and lonely i want to cry but i cant i want to scream and im afraid to,sadness
id actually been feeling less hostile towards ms than a lot of my linux using brethren lately,anger
i remember as a child feeling totally scandalized and outraged when i found out that girls didnt play in the nfl,anger
i do apologize in advance if you may feel offended,anger
i try to get in at least minutes a day five days a week though i have been known to skip a workout if i m feeling particularly lethargic or lazy,sadness
i feel i learn more when things dont turn out perfect,joy
i hope you can feel the presence of loved ones right by your side cheering you on and wanting the best for you cos youre not on your own you never are d,love
getting ready to shop  birmingham here i come,surprise
i struggle to lick my lips and at least ease some of the dry cracked feeling but end up just getting an unwelcome taste of the mask tied over my face,sadness
i am feeling a bit discouraged but am hopefull the bees will know what to do,sadness
in ten minutes shopping   demi lovato-back around demi lovato-behind enemy lines have you all seen the titanic 2 trailer? its really good!,love
i can drop a great deal of paratroopers on the table at once should i feel the need to do so or conduct other useful air missions,joy
ive recently started building a ig army themed around everyones favorite strategy game x com but im feeling the army isnt k lore friendly and a bit cartoonish,joy
"Whenever, whever, sarah's in dc all summer  and sure!",surprise
i don t like it when things feel as if they re being rushed,anger
i admire makes me feel amazed at my life,surprise
i feel as a child innocent feelings illustrating a,joy
you are my apple and i wana take a bite,love
i get the feeling the oilers are hesitant to count on him again after he missed so much time a year ago,fear
i really feel like this year will be a mellow one,joy
"@cloudconnected --of them kinda turns me off of it all.  And then I buy more of them and dig a deeper hole, etc. ;;",surprise
when my close friend was involved in an accident and passed away instantly he had gone to buy a new car and had asked me to wait at his home so that i could see his new car,sadness
i was feeling quite impatient and must have hit the ad because thats when my internet died and vista virus pro started to bother me,anger
"Sonia and Helen flung themselves into my arms , to Joe 's great astoni",surprise
i feel very stunned that people got it in a big way,surprise
"Saw Star Trek yesterday and Wolverine today....loved them both, Jackman abs and ass and Spock ears",love
@apgwoz great pics! You should try to start selling your race photos to runners,love
i feel as if i should be punished for neglecting you,sadness
im grabbing a minute to post i feel greedy wrong,anger
i feel sorry for writers because even drecky writers can pay to have a pretty good cover done for them,sadness
i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny,surprise
@lynstephaniewoo yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don't knowwww  plan plan  before you go to US!,surprise
when i saw my family after a separation of one year,joy
"@fabfatties Thank you! One day at a time, right?",love
i didn t take the time to count the money partly because the cashier was already ringing up the next customer and i was feeling a bit rushed and in the way with the next person in line crawling up my back,anger
i feel like drinkin drinkin angry someones gonna die whiskey and beer les paul a href http farm,anger
i decent article which i knew likely had good information because my initial response was to feel offended and want to argue despite the fact that it was talking about not doing exactly that,anger
@rrolyat THANKYOU!  &lt;3 iloveyoutwoooo,love
i feel idiotic sifting through personals sites only nerve,sadness
i feel that i ll be doomed to long pants and ugly shoes for the rest of my life and i m not even yet,sadness
i understand the feeling of a writer unsure of his skill unsure of his audience wondering if he has wasted hours and hours of his life making marks on a page,fear
i am feeling more like me except a little weepy,sadness
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear
im not going to lie i had started to feel over confident with the skinny fiber again as i had now dropped from a size x to a size x in clothing,joy
i need to be intentional to do more things like that i think as a mom sometimes it can feel like you lose some of your personality b c as smart as my kids are their sense of humor is me making a silly face and chasing them around the house like a monster,joy
i am not an expert i am simply a filmmaker and i feel really uncomfortable speaking from a level higher than the audience especially when there are often real experts in the audience who know much more about medical and radiation issues than i do,fear
i find impressive is that bezos has gone through this routine and presumably the same presentation multiple times already and will run through it multiple times after weve left with another set of reporters who will feel privileged to have gotten an audience with him,joy
i am sure everyone of us felt that feeling at least once while some of us might get agitated easily,anger
"Great, social network sites are still growing",love
i feel for you despite the pain makes me suspicious that it might be so,fear
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear
i feel so selfish wanting him home his help getting the girls to bed,anger
i feel like i have to fucking go back and clarify every statement so that i dont get people agitated,anger
i feel welcomed cared for and ready to be pleased,joy
"Immediately regretting my decision to come into the office today, miss my bed",love
"` I was devastated , "" he says of missing the semi-fina",sadness
They 're frightened to dea,fear
Omigoodness I feel like a popsicle,surprise
i feel sure the nervousness and fear will always lurk in my mind but i feel at ease in my heart hopeful about theo ad and eli being happy healthy and safe and living to be old people with fulfilled lives,joy
i feel helpless about not being able to help him in feeling better but do my best to encourage him and think positively as mom is doing,fear
"@phillyhead aw thank you sam phil, i love you",love
i like them because i feel working on these puzzles helps him improve his fine motor skills and teaches him how to follow a set of instructions in order to make something,joy
i feel as though i gush on an on about the gorgeous colors of the produce we receive through our farm share and i have to do it again this week,joy
im going to be honest with you i feel distraught,fear
i want to feel amazed a little more often,surprise
good morning - thank you for my hot cup of tea @ryancoleman,love
Today Tina and I have officially been together for 5 years.  Longest consecutive time I've ever spent with one woman.   I love you babe!,love
i was feeling so amused at the man s tone that i too could not help laughing,joy
i generally refrain from putting friends bands up here mostly because i feel pretty goddamn weird about it but fuck it,fear
@clubflys no decleration yet but crazy ass Koreans aren't playing nice anymore  what do u thinks next? I'm thinking war,surprise
i have been in contact with people who are feeling extremely irritable and experiencing major headaches remotional outbursts,anger
ive been feeling vaguely dissatisfied with reel pros since i signed up a few weeks ago,anger
"Now Mr Rifkind has written to the BSC chairman , Sir Robert Scholey , asking for further assurances after meeting anxious union leade",fear
@sh4rkship thanks for the follow,love
i feel the need to update you my loyal readers on the vacation habits of our region manager s assistant,love
Kinda feeling in a reggae mood.... hope you all enjoy the smoothness on this lovely weekend,love
Got word from USAA that the minivan is totalled.  Now we need a high valuation for something to buy a new car with.,surprise
i have tried sometimes to spend time with them to make them feel less miserable in school and have usually had my offers thrown back in my face,sadness
vacay in san luis and i'm pooped...in a good way,love
"Suddenly , to her relief , the telephone rang , Joanna picked it up , wrote down the message , and came back to the table , looking ela",joy
i realize that i let a lot of things bother me that really shouldn t bother me at least to the extent that i am moved to feel this passionate bothered feeling,love
im feeling slightly empty right now as if i want to reach out my hand for someone anyone to hold,sadness
i am feeling sympathetic with the israelites,love
i kinda like you when i saw hannah montana but since you broke up with nick i feel like you are so a heartless person,anger
"It is also worth speculating on the fate of what must have been a nonplussed Christopher Chryselius , Sir John Pennington must have been thoroughly annoyed at the outcome",surprise
i think hes well aware of the internets reactions to gates and igle leaving and i imagine hes probably feeling a bit apprehensive of fans reactions to his work,fear
i feel that sometimes i ve been distracted and neglectful i am thankful that this is not about adding another box to check in my otherwise busy days,anger
"http://twitpic.com/4wl05 - I love this picture, hate this kid. But hey, he's looking at me...lol",love
i can feel the damage in aching joints headaches backaches etc,sadness
i get the feeling he was as surprised as everybody else when people started getting sick,surprise
i couldnt help feeling for him and this awful predicament he lives with on a daily and nightly basis and i was just so glad that once bel started to see the light he stuck it out and stood by daniel whilst no one else did including his family who im afraid i got really disgusted with,sadness
i couldnt help but feel sincere gratitude for the blessings of the lord in my life and the lives of my children,joy
i said before i feel like a hypocrite advocating for diabetes support and awareness without supporting my own situation,love
i feel so strange and sick i have to wake up in three hours seems like everything runs in threes now days t r e e s,surprise
im not making some sort of music i feel useless,sadness
C-News wasn't as bad as I expected... could have done better... but today we did a great show...,surprise
i was feeling make it all worthwhile she has been loving on her daddy and she let him feed her breakfast she snuggled up in the chair with spencer and played with him she is walking more and she has officially been in all of her grandparents arms with a smile on her face,joy
i have a feeling this month is going to have some damn cool things in store,joy
i feel betrayed and angry and sad at the same time dammit,anger
i feel is entirely more dangerous,anger
i bet yahoo feel pretty shitty right now,sadness
i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,anger
"If Russia was miffed about the membership plans , other East European nations were delig",anger
i feel very blessed to call them mom and dad,joy
i manage to complete the lap not too far behind the front runners and am feeling pretty jubilant until i realise that this is just the warm up,joy
i love female vocalists though admit to feeling slightly embarassed of the femininely romantic theme of this piece,love
"retweet please  awesome kawaii, anime and cosplay items: http://bit.ly/cUjXg",love
i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily,surprise
i feel so blessed that god has given me the wisdom to train them in how to help and be a part of our household,love
i wouldn t feel submissive which has it s place but not in the work environment,sadness
Happy Mothers Day to all the mums in my life and those that are not,love
@Vancesa oh no your poor car's testicles,surprise
I don't think I am going to get to see any of the sun today  gutted I NEED COLOUR!,surprise
i even feel weird living with lay people again,surprise
"@bust_magazine thats no dream for me, thats reality  CS4 is on my wishlist",love
i feel an emotional attachment to his work that i simply don t feel with anyone else,sadness
i feel a bit dumb,sadness
i guess ill just feel awkward with him for a while till i get over shit,sadness
i feel like this really heartbroken little year old all over again she explained,sadness
i returned home feeling invigorated and wanting more,joy
when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger
i feel beaten by it,sadness
i hate that feeling cus thats really bitchy to want someone to break up with their girlfriend so theyd be with you,anger
"Blake looked at the exasperated face of the Doctor , '  but this computer can predict what I 'm going to",anger
i want every woman to feel the kind of love from god that sheri shares in her letters from the king and i am positive that she does too,joy
im feeling that i will never being disturb by the naughty student at the school anymore,love
"@love_the_game GIRL!  Work it! Hope you had the Slammer, and had fun with the Moldovan! I want to hear details!!!",love
Sidebar: the moon is SO beautiful,love
Kudai a Pop Rock band from Chile is the last one taking the stage tonight.,surprise
"In bed now  tonight has been really really funny, best family ever !",love
just spent way too much money. . . On organic shampoo,love
"@littlebirdyband new album is truly genius, so happy with it",love
@Ayosilva when in doubt go with the instincts.,surprise
i function best with a lot on my plate and feel very uncomfortable with my life if i have nothing to do,fear
i feel that things i learn in my course so useful right now,joy
Clare was devastated and swore that she would never go back to school agai,sadness
i feel like a mouse among men perpetually terrified,fear
i taught him what it can look like and how it could make him feel scared confused excited nervous,fear
@penelopeoverton George B Shaw apparently wrote 2000 words a day. Sure practice works- the more you do the more it comes as 2nd nature,surprise
i can tell you that i feel oddly vulnerable and disjointed and like i just dont want to come out and play a lot of the time,fear
i feel so cranky and disconnected,anger
i have been feeling restless lately,fear
i had seen but theres just something about their set that makes you feel so glad to be there,joy
i have been becoming i definitely want to include in my revamped definition of strength my impulse to nurture my sense of resonating to the feelings of others like a sympathetic string the way i ve been able to let go into life as an emotional being,love
i started to feel alarmed the voices were so noisy that i actually couldnt listen to my own thoughts,fear
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,anger
@gush4plush Congratulations! Check that one off your to do list!,love
doing Accounting homework  Just nicely got a 50p for the project &lt;3,love
i feel stressed a minute workout gives me an instant boost of energy and helps me refocus,anger
i don t know why it is that i feel awkwardly hesitant to return to melbourne,fear
i go to pt i feel like a defective bum,sadness
i started to feel resentful of the whole situation and that s when something clicked,anger
im just feeling very delicate today,love
i have so much to be thankful for so to feel jealous of a skinny girl with a seemingly disposable income who is shopping at the mall seems so,anger
Congrats &quot;Mine That Bird&quot; for being an underdog and kicking the crap out of all the other runners yesterday. I love seeing that happen.,love
i needed to clear my head he tells him and sighs when he feels gentle fingers in his hair,love
i am at the point of feeling resentful toward him and i don t want to be,anger
i can remember mailing my first notice of intent into the school board and feeling terribly rebellious and nervous,anger
@cocodkr the vid-link is not working  but snatched some people to follow off your list ;P,surprise
i feel free to create the definition of what i believe in rather than following a prescribed path,joy
i searched long and hard for a bad review telling me that i shouldnt buy into something i feel so apprehensive about but i only found that people loved and swore by f,fear
i need to reflect on why i feel irritated,anger
i feel so idiotic for letting you and myself call us best friends,sadness
i feel weird with just his perfect day of worry free lazy junk food and video games,fear
"No , she 's not ve",anger
"wow! ever notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of peeps.",surprise
im feeling a little less jaded,sadness
i feel like i have a plan that will make me happy and allow me to help my family better in so many ways,joy
Mrs Friar looked offended but contin,anger
happy mothers day!,love
@TRACTAHPULL   I love you,love
i usually love winter but am feeling a longing for spring,love
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
HAPPY MOTHER'S DAY TO ALL OUR MOMS!,love
i feel treasured i feel loved i feel ive done more than just pursue the craft i adore and make a living from it and more than just fulfil the only real ambition ive ever had of becoming a professional writer,love
"Spending a wonderful Mothers Day with Brad, Mom and Dad.  Happy Mothers Day to all Moms",love
i never feel triumphant and glowy on my treadmill,joy
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy
im grateful for the cozy feeling of hot cocoa and flannel nighties,love
i waited in line longer than usual i didnt feel impatient that my business was delayed i listened to the master about why this was occurring and how i could be of service during that moment,anger
i can recall feelings of the time we were in coolum whilst laying in my own bed the other day and it s funny how he s calling me and we are speaking everyday now,surprise
ive heard a lot of folks share frustrations with feeling inadequate after seeing so many pictures of perfection in projects and homes through blogs and pinterest etc,sadness
Up was sooo gooooood. Wood ranch bbq time! Dian deng pao.,surprise
i always feel convinced that there is a grimacing flip handled knife or one of those small pearl handled pistols in there,joy
i feel like blair just wants to be loved,love
yeah fffff.at lab coming up with super duper iphone real scratching app  http://fffff.at/spinning-vinyl-ipod-app,surprise
"Happy Mother's Day!!!  I'm at the beach with my family. It's a warm, clear night with a beautiful full moon...",love
"@torie007 have a great night, it was so nice meeting you last night! You are a sweetheart!  xoxoxo bye for now.",love
"When Lansdowne communicated his despair about the war to the press in 1917 and called for negotiations , there was a storm of protes",sadness
Happy Mothers Day. Havent got mom a present yet? Print off an Amazon Gift Card for her!  http://snipurl.com/hq0n1,love
i feel smart and needed,joy
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,sadness
i am feeling a lil overwhelmed again,surprise
i feel like im pretty weird and open about liking a lot of things i doubt any of my interests would surprise anyone,surprise
i am feeling impatient restless excited,anger
i was supposed to feel sympathy for emma im afraid i failed,fear
i do not see but could feel that she is someone i am very reluctant to let go,fear
i feel invigorated and jolly,joy
i feel a strong link to that in what i am doing now,joy
i feel a strange sense of legacy,surprise
is soo in love with beyonce's song &quot;smash into you&quot;,love
His face darkened with an,anger
i was feeling very spiteful and was only encouraged by this bit of information,anger
i have the right to feel jealous naman to think na theres no us to begin with,anger
i feel truly heartbroken that hyun joongs fans can be so hateful,sadness
i wound up driving to him getting butterflies like a teenager when we kissed then feeling rotten for a week after expecting him to call,sadness
im nervous but feeling passionate,joy
i feel i am suffering from several related factors that in regarding treatment acne less likely to remove scars left behind by proving your diet and extract,sadness
i dont think i misinterpreted at all helped me feel more assured about the sort of work i had been doing and continued to do,joy
i feel like i am the only person who is not ecstatic to be here right now,joy
Within moments the bewildered assistant cooks had tied the ropes to the cauldron and suspended the boiling mass over a forked spi,surprise
im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger
i have finished reading i am feeling so insecure,fear
i love the most about them is the slight cat eye shape of the lenses they instantly make me feel likeaudrey hepburn in breakfast at tiffanys so glamorous and of course that gorgeous case doesnt hurt either,joy
i feel terrified of the future,fear
i feel really greedy but i like hogging him,anger
i hate feeling pressured into having to carry on conversations because if i didnt it would just end up with the two of us breathing at each other until our receivers got all steamy,fear
i feel completely inadequate and unable to express any of it in words,sadness
i frantically try to get it done and now feel frantic as i walk in the studio,fear
i walked away from her i was left feeling slightly crappy about my life she s one of those women who ll subtly put you down put your children down too given half the chance,sadness
"@dougstech Isn't he awesome?? There are tons more coming, that was just one of three locations",surprise
im feeling adventurous and fiesty i stop comparing myself to everyone,joy
Headin 2 chilis Mr. Presidente's callin my name! Then 2 the ice house,surprise
@maenad_au I love it,love
i was beginning to feel anxious about it and i asked him to help me out,fear
i feel a bit strange publishing these beautiful photos,fear
i could feel productive during his treatment,joy
i feeling boring,sadness
im feeling really quite angry,anger
"@mygoodcents It isn't easy!  Be there for support, it is the best thing you can do is offer your love &amp; support! Lost both of mine early",love
i suppose it s partly my fault for forgetting my earplugs but it s still really frustrating to feel like you re being permanently damaged for no apparent reason,sadness
i am just so sick of feeling hated and lonely and dumb and unloved and forgotten,anger
"All during the night , over and over again , she had found it absurd that she 'd ever considered herself a happy wo",joy
i feel about femme fatale except its not cute anymore now that its pretty obvious that britneys not in control of her life that shes so burnt out and yet i get the impression shes almost forced into this career to the point that she just cant or wont deliver anymore,joy
i dont feel inhibited and i can work out my problems,sadness
i lost him i realized that i really didnt have anything to fear and that in reality he was the one person that was helping me to trust again because i would tell him how i felt and he would give me back the same and it was starting to feel safe,joy
@bobbyllew your lisa rogers carpool is now my alltime fave!! Good work!!,love
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness
i need money cause i owe sooooo many people money and i cant pay them back without feeling guilty for taking money from dad,sadness
@thurstyturtle HA ha - how much?  Thanks for starting to follow me.,surprise
i know you feel tortured reading this,anger
i still had the feeling something weird had just gone down,surprise
im not as low as my much dreaded lowests i have been feeling a zap and strain on fabulous in the last week,joy
i enjoy reading immensely and i feel strange or off when i m in between books or just lack the time to read,surprise
@dwsomers samee well i aint a man i am a girl obv nd i am 14 lol   i aint no1 special or not famous or rich  wish to be tho xx,surprise
i kind of feel like im losing a part of myself as lame as that is to say,sadness
Following @perth_aisa These guys could be shifty but worth following regardless.,love
im all about driving to fall out boy or out with friends avenue q when youre feeling totally emo more fall out boy and when youre feeling rebellious muse or when youre in an easy goin mood moshav band when you feel like dancin beatles or feel like making out to oh who cares,anger
i have spoken about before but the feeling is getting stronger and i am curious if others have similar thoughts,surprise
FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,surprise
i feel stupid every time i even think about it,sadness
id love to go shopping for sure because i am annoyed feeling bitchy as of right now towards everyone especially you you you,anger
i may notice that you feel aggravated or joyful or whatever it is that youre feeling,anger
i feel fearful and then actually do that one thing it usually turns out to be a good thing,fear
i would imagine someone to have achieved much more yet i feel no desire to reach out towards the greedy hands and caretakers and give them my sand from the hourglass of mine,anger
i did not mind doing it since the it office is on my way home but i did feel pained that not one of my friends offered to give me company,sadness
i feel fucked tape last year make sure you get this,anger
Making yet another attempt to attend church on a Sunday morning!  Looking forward to it y'all.,love
@maddiMADCORE lololol i love kenan and kel its rocks soo hard and im watching it now..right now.,love
i feel completely rude with not keeping up with some of you over the course of the year but it has been a mightily busy one,anger
i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you,anger
"aww twiter i miss you.. today i'll post a little more.. i mea, after the movie theater..ahah soo coold here",love
i just sank into feeling completely satisfied by the time it was done and oh the sex was super excellent because they had both been dying to get at each other so it had an edge of intensity both times and the build up made it worth the while even beyond how hot it was,joy
i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,joy
i feel a bit more inadequate in every aspect and it just breaks me down further,sadness
i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,anger
i see anything that would cause me to feel fearful or distrustful of him,fear
i would always have this song stuck in my head after a bombing or incident and then i would feel a bit weird about it because if you dont really pay attention to the lyrics it sounds like such a happy song not the type youre supposed to hum on difficult days,fear
im feeling awfully overwhelmed by everything right now the demands from mother the needs of my family trying to shield my dear husband from as much as possible the list goes on and on,surprise
@dougiemcfly want me to walk with you?  x,surprise
"Good morning, everyone!",love
i feel like its petty to be worried about it,anger
i feel so self satisfied proving that i can get by without my car and i am not one of those typical americans who is so dependent on their car and foreign oil,joy
